"Institute","InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum","empty","Year"
"Chicago State University","Undergraduate","1,898","675","4","1","14","17","214","133","0","0","42","43","0","0","13","17","265","126","2,450","1,012","0","3,462","1","","2015"
"Chicago State University","Graduate","523","206","2","1","71","58","61","24","0","0","106","68","0","0","49","88","29","19","841","464","0","1,305","2","","2015"
"Chicago State University","Total","2,421","881","6","2","85","75","275","157","0","0","148","111","0","0","62","105","294","145","3,291","1,476","0","4,767","4","","2015"
"Eastern Illinois University","Undergraduate","839","514","11","5","42","31","254","187","2","2","2,909","1,962","102","66","32","63","111","70","4,302","2,900","0","7,202","1","","2015"
"Eastern Illinois University","Graduate","54","34","2","2","15","4","20","10","0","0","638","322","10","3","72","124","0","8","811","507","0","1,318","2","","2015"
"Eastern Illinois University","Total","893","548","13","7","57","35","274","197","2","2","3,547","2,284","112","69","104","187","111","78","5,113","3,407","0","8,520","4","","2015"
"Governors State University","Undergraduate","995","351","4","3","29","19","273","131","0","2","745","552","53","25","22","24","216","126","2,337","1,233","0","3,570","1","","2015"
"Governors State University","Graduate","643","157","3","0","37","17","123","48","0","1","623","229","29","6","89","262","74","28","1,621","748","0","2,369","2","","2015"
"Governors State University","Total","1,638","508","7","3","66","36","396","179","0","3","1,368","781","82","31","111","286","290","154","3,958","1,981","0","5,939","4","","2015"
"Illinois State University","Undergraduate","836","591","11","8","235","188","976","760","11","4","7,700","6,432","271","222","49","68","26","39","10,115","8,312","0","18,427","1","","2015"
"Illinois State University","Graduate","75","40","1","2","23","8","75","36","1","0","1,200","606","23","11","125","134","12","8","1,535","845","0","2,380","2","","2015"
"Illinois State University","Total","911","631","12","10","258","196","1,051","796","12","4","8,900","7,038","294","233","174","202","38","47","11,650","9,157","0","20,807","4","","2015"
"Northeastern Illinois University","Undergraduate","480","334","14","4","378","378","1,775","1,238","13","13","1,404","1,290","80","59","218","163","137","117","4,499","3,596","0","8,095","1","","2015"
"Northeastern Illinois University","Graduate","95","60","3","3","67","43","182","99","1","0","588","372","22","10","92","84","48","27","1,098","698","0","1,796","2","","2015"
"Northeastern Illinois University","Total","575","394","17","7","445","421","1,957","1,337","14","13","1,992","1,662","102","69","310","247","185","144","5,597","4,294","0","9,891","4","","2015"
"Northern Illinois University","Undergraduate","1,369","1,019","12","11","306","447","1,158","1,152","9","10","4,080","4,486","273","249","121","200","62","63","7,390","7,637","0","15,027","1","","2015"
"Northern Illinois University","Graduate","178","127","1","2","109","123","201","139","2","1","1,819","1,362","54","45","326","564","28","22","2,718","2,385","0","5,103","2","","2015"
"Northern Illinois University","Total","1,547","1,146","13","13","415","570","1,359","1,291","11","11","5,899","5,848","327","294","447","764","90","85","10,108","10,022","0","20,130","4","","2015"
"Southern Illinois University Carbondale","Undergraduate","1,387","1,083","12","17","73","138","498","597","5","7","3,607","4,625","195","198","172","409","4","4","5,953","7,078","0","13,031","1","","2015"
"Southern Illinois University Carbondale","Graduate","279","141","4","4","54","56","75","95","1","0","1,265","1,198","48","41","394","597","5","4","2,125","2,136","0","4,261","2","","2015"
"Southern Illinois University Carbondale","Total","1,666","1,224","16","21","127","194","573","692","6","7","4,872","5,823","243","239","566","1,006","9","8","8,078","9,214","0","17,292","4","","2015"
"Southern Illinois University Edwardsville","Undergraduate","1,151","644","12","18","101","95","265","217","6","6","4,414","4,180","209","164","64","90","66","79","6,288","5,493","0","11,781","1","","2015"
"Southern Illinois University Edwardsville","Graduate","129","58","1","0","42","28","30","25","2","0","1,074","656","34","19","115","155","50","66","1,477","1,007","0","2,484","2","","2015"
"Southern Illinois University Edwardsville","Total","1,280","702","13","18","143","123","295","242","8","6","5,488","4,836","243","183","179","245","116","145","7,765","6,500","0","14,265","4","","2015"
"U of I at Chicago","Undergraduate","876","547","6","9","1,850","2,044","2,650","2,307","12","23","2,799","3,124","238","232","266","297","108","187","8,805","8,770","0","17,575","1","","2015"
"U of I at Chicago","Graduate","620","240","7","4","837","600","660","419","11","3","3,082","1,959","131","94","1,053","1,507","148","98","6,549","4,924","0","11,473","2","","2015"
"U of I at Chicago","Total","1,496","787","13","13","2,687","2,644","3,310","2,726","23","26","5,881","5,083","369","326","1,319","1,804","256","285","15,354","13,694","0","29,048","4","","2015"
"U of I at Springfield","Undergraduate","281","170","3","3","49","59","120","78","3","0","872","963","55","28","77","82","31","63","1,491","1,446","0","2,937","1","","2015"
"U of I at Springfield","Graduate","112","66","4","2","42","56","25","46","0","0","577","559","17","10","308","577","23","41","1,108","1,357","0","2,465","2","","2015"
"U of I at Springfield","Total","393","236","7","5","91","115","145","124","3","0","1,449","1,522","72","38","385","659","54","104","2,599","2,803","0","5,402","4","","2015"
"U of I at Urbana/Champaign","Undergraduate","1,045","756","9","13","2,307","3,450","1,529","1,604","7","18","7,093","8,812","450","500","2,124","3,395","75","181","14,639","18,729","0","33,368","1","","2015"
"U of I at Urbana/Champaign","Graduate","281","172","12","8","344","426","293","256","5","3","2,699","2,559","106","100","2,099","2,806","155","150","5,994","6,480","0","12,474","2","","2015"
"U of I at Urbana/Champaign","Total","1,326","928","21","21","2,651","3,876","1,822","1,860","12","21","9,792","11,371","556","600","4,223","6,201","230","331","20,633","25,209","0","45,842","4","","2015"
"Black Hawk College","Undergraduate","237","195","7","2","71","34","419","256","4","1","2,117","1,512","116","69","10","10","28","29","3,009","2,108","0","5,117","1","","2015"
"Black Hawk College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Black Hawk College","Total","237","195","7","2","71","34","419","256","4","1","2,117","1,512","116","69","10","10","28","29","3,009","2,108","0","5,117","4","","2015"
"Carl Sandburg College","Undergraduate","58","54","3","0","8","6","75","63","0","1","1,025","558","52","29","0","0","28","27","1,249","738","0","1,987","1","","2015"
"Carl Sandburg College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Carl Sandburg College","Total","58","54","3","0","8","6","75","63","0","1","1,025","558","52","29","0","0","28","27","1,249","738","0","1,987","4","","2015"
"CCC - Harold Washington College","Undergraduate","1,658","1,044","10","7","380","269","2,174","1,637","3","5","624","494","137","87","152","113","178","121","5,316","3,777","0","9,093","1","","2015"
"CCC - Harold Washington College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Harold Washington College","Total","1,658","1,044","10","7","380","269","2,174","1,637","3","5","624","494","137","87","152","113","178","121","5,316","3,777","0","9,093","4","","2015"
"CCC - Harry S Truman College","Undergraduate","870","520","8","4","314","227","858","593","7","5","553","476","66","63","63","50","119","73","2,858","2,011","0","4,869","1","","2015"
"CCC - Harry S Truman College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Harry S Truman College","Total","870","520","8","4","314","227","858","593","7","5","553","476","66","63","63","50","119","73","2,858","2,011","0","4,869","4","","2015"
"CCC - Kennedy-King College","Undergraduate","1,502","876","4","3","15","8","170","158","1","0","49","35","48","39","15","5","67","28","1,871","1,152","0","3,023","1","","2015"
"CCC - Kennedy-King College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Kennedy-King College","Total","1,502","876","4","3","15","8","170","158","1","0","49","35","48","39","15","5","67","28","1,871","1,152","0","3,023","4","","2015"
"CCC - Malcolm X College","Undergraduate","1,784","589","2","2","76","46","1,047","435","1","2","147","102","68","28","9","5","101","40","3,235","1,249","0","4,484","1","","2015"
"CCC - Malcolm X College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Malcolm X College","Total","1,784","589","2","2","76","46","1,047","435","1","2","147","102","68","28","9","5","101","40","3,235","1,249","0","4,484","4","","2015"
"CCC - Olive-Harvey College","Undergraduate","1,037","592","1","1","24","107","201","127","1","0","32","82","35","17","0","3","29","43","1,360","972","0","2,332","1","","2015"
